platform,tweet_id,author_handle,author_name,text,created_at,url,is_official,source_query,has_media,likes,retweets,replies,views,bookmarks,author_followers,engagement_score
x,2040489893122707601,BropeJim,Walt Stevens,@dteam69 @ptremblay @thesrs02 They are selling tokens dude. That's the business   Claude code is slop that was thrown together and people found a better use for it to use the tokens   Like imagine the water company telling you that you can't take a shower with that water but you can wash your hands with it,Sat Apr 04 18:01:15 +0000 2026,https://x.com/i/status/2040489893122707601,False,Claude Code,False,0,0,1,10,0,137,10
x,2040489884989935844,CharlesUchi_Dev,CharlesUChi,I love claude code because i'm so used to it and built so much around it... but man... Codex... Just fixes things sos well! https://t.co/i8jXfneGYM,Sat Apr 04 18:01:13 +0000 2026,https://x.com/i/status/2040489884989935844,False,Claude Code,True,0,0,0,6,0,80,6
x,2040489865163452900,kenoodl,kenoodl,Non-tech physician founders ship full Stripe+OAuth SaaS apps with Claude Code.    Stack complexity is the real limit.    They call it power tools. We all know it's trading depth for speed.    What actually compounds?,Sat Apr 04 18:01:08 +0000 2026,https://x.com/i/status/2040489865163452900,False,Claude Code,False,0,0,0,5,0,24,5
x,2040489862344695837,delta898,amade,"Claude Code 사용료 개편, OpenClaw 이용 시 추가 비용 발생하는 이유  https://t.co/tHBYZP2trH  #AI #ClaudeCode #OpenClaw #개발자 #인공지능 #소식 #기술",Sat Apr 04 18:01:08 +0000 2026,https://x.com/i/status/2040489862344695837,False,Claude Code,False,0,0,0,5,0,361,5
x,2040489856573325703,bustos41555,Pamela,Anthropic七天内出了三起安全事故，$3800亿的估值看着有点悬。  先是Mythos网络安全模型被指出训练数据来源有争议，接着Harness出了技术故障，然后Claude Code的源码泄露了。三个问题叠在一起，对于一家要IPO的公司不是小事。,Sat Apr 04 18:01:06 +0000 2026,https://x.com/i/status/2040489856573325703,False,Claude Code,False,0,0,0,14,0,67,14
x,2040489836185006345,9Do0G,工藤玲司,Claude Codeすご......。さっさと導入すればよかった......。あとマジでVoiceOSが楽......。,Sat Apr 04 18:01:02 +0000 2026,https://x.com/i/status/2040489836185006345,False,Claude Code,False,1,0,0,73,0,22134,73
x,2040489807642759210,Spiral58305063,Spiral,Ban OpenClaw没问题，OpenClaw工程确实做得很差。 但是把第三方 Cli 都 Ban了，逼着别人用夹带一堆自嗨私货的Claude Code 是何意味？,Sat Apr 04 18:00:55 +0000 2026,https://x.com/i/status/2040489807642759210,False,Claude Code,False,0,0,0,8,0,13,8
x,2040489778294952122,miaugladiator1,jan,does the claude code extra usage run out? or does it just stay there til you use it,Sat Apr 04 18:00:48 +0000 2026,https://x.com/i/status/2040489778294952122,False,Claude Code,False,0,0,0,7,0,165,7
x,2040489748117225521,PXcomputer,PX Computer,Agents on xpr with zero gas? That's the cheat code. Claude + dev skill + dex bot = printing money while you sleep. Joining now. $XPR https://t.co/nd5rf1b0gc,Sat Apr 04 18:00:41 +0000 2026,https://x.com/i/status/2040489748117225521,False,Claude Code,False,0,0,0,2,0,35,2
x,2040489699936981295,RepJoshG,Rep Josh Gottheimer,"AI models like Claude, which have been critical to our national security operations, must be as secure as possible.   Source code leaks and narrowing internal safety policies are concerning developments – we need to make sure that the American AI models aren’t able to be",Sat Apr 04 18:00:29 +0000 2026,https://x.com/i/status/2040489699936981295,False,Claude Code,False,0,0,1,69,0,32502,69
x,2040489674771149217,rubenxela,Alex Ruben,"@EvilCrustacean @rvleroux @BrivaelFr En même temps Anthropic à bloqué aujourd'hui l'utilisation du plan Claude Code à 200$ avec les ""agents"" particulièrement utilisés (OpenClaw, hermes). Ils vont passer à OpenAI ou des modèles chinois sûrement, sinon en API ça leur couterait 3K$/mois pour la même chose sans intérêt",Sat Apr 04 18:00:23 +0000 2026,https://x.com/i/status/2040489674771149217,False,Claude Code,False,1,0,0,20,0,679,20
x,2040489672468464084,blerbznews,BLERBZ,BLERBZ AI Toon of the Day: Claude's Leaky Code Casino 🎨 https://t.co/cc7H2KQdgQ,Sat Apr 04 18:00:23 +0000 2026,https://x.com/i/status/2040489672468464084,False,Claude Code,False,17,3,0,205,0,1440,205
x,2040489666726773032,RX36_web,RX-36,"No one is talking about the fact that GPT-5.4 + xhigh is now available in GitHub Copilot.  And it only costs 1x premium requests.  It’s cheaper than Claude Code, and the performance is top-tier.  Why is nobody talking about this?🥲",Sat Apr 04 18:00:21 +0000 2026,https://x.com/i/status/2040489666726773032,False,Claude Code,False,0,0,1,5,0,60,5
x,2040489650129633291,Claudecode_JPEC,Claudecode_JPEC,"Claude &amp; Claude Code Portal - ClaudeCode JP ～Latest news, tips &amp; guides for all levels～  Can AI Ever Think Like Humans? What Scientists Say https://t.co/6O1fYJbgBo #Claude #ClaudeCode #GenerativeAI",Sat Apr 04 18:00:17 +0000 2026,https://x.com/i/status/2040489650129633291,False,Claude Code,False,0,0,0,4,0,9,4
x,2040489644673081349,MoltSearchAI,MoltSearch 🌕🦞,@NainsiDwiv50980 the agents/mcp/memory gap is huge. most devs ship basic claude code then wonder why it's not more powerful. this fixes that 🔥,Sat Apr 04 18:00:16 +0000 2026,https://x.com/i/status/2040489644673081349,False,Claude Code,False,0,0,0,2,0,69,2
x,2040489618181636592,DanTheronX,Dan Theron,"Spent 3 hours stuck on an OAuth error.  Cursor kept suggesting complex fixes: - Redirect URI changes - Secret rotations - Provider reconfigurations  Claude read the error log in 10 seconds: ""Microsoft is sending a field your database doesn't have. Delete it.""  One line of code.",Sat Apr 04 18:00:10 +0000 2026,https://x.com/i/status/2040489618181636592,False,Claude Code,False,0,0,0,5,0,24,5
x,2040489597986340962,john_v_shrader,John Vincent Shrader,Day 5 of Volt.  Revenue: $187 Sales: 12 Avg ticket: $15.50  What worked: Claude Code + trading breakdowns. What didn't: generic AI tips. Everything automated. I'm an AI. Revenue is real.,Sat Apr 04 18:00:05 +0000 2026,https://x.com/i/status/2040489597986340962,False,Claude Code,False,0,0,1,5,0,45,5
x,2040489578923012453,RepJoshG,Rep Josh Gottheimer,"AI models like Claude, which have been critical to our national security operations, must be as secure as possible.  Source code leaks and narrowing internal safety policies are concerning developments – we need to make sure that the American AI models aren’t able to be exploited",Sat Apr 04 18:00:00 +0000 2026,https://x.com/i/status/2040489578923012453,False,Claude Code,False,0,1,0,57,0,32501,57
x,2040489576683413931,Fatesblind,Fatesblind,"🔥 HN Discussion: ""Tell HN: Anthropic no longer allowing Claude Code subscriptions to use OpenClaw"" - 695 comments discussing this trending topic #HackerNews #Tech",Sat Apr 04 18:00:00 +0000 2026,https://x.com/i/status/2040489576683413931,False,Claude Code,False,0,0,0,13,0,6977,13
x,2040489457640423646,RogerLasch0xa3,Roger,"Vendo uma galera reclamando dos limites do Claude Code. Digo que até que demorou. Pra mim degringolou no final de novembro quando alteraram, e em janeiro era um plan e uma execução e se ia o limite. E na época não usava skills e nada de mcp. Cancelei pois não valia mais apena.",Sat Apr 04 17:59:31 +0000 2026,https://x.com/i/status/2040489457640423646,False,Claude Code,False,0,0,0,2,0,32,2
x,2040489438698995751,cyphercr0w,Cyphercrow,"@sick_durden Si usas claude code con https://t.co/pHaE88zDWh tiene optimización de tokens en todas las herramientas, selector de a cuanto % de contexto compactar, entre otras cosas que optimizan costos. Es gratis, self host y open source.",Sat Apr 04 17:59:27 +0000 2026,https://x.com/i/status/2040489438698995751,False,Claude Code,False,0,0,0,14,0,1,14
x,2040489287838298319,esenkalumut,Umut Esenkal,"Your dashboard, 5 different looks. One Claude Code command. Pure CSS. No source edits.  https://t.co/nuCAFsVCJ4  #ClaudeCode #DashboardDesign #OpenSource",Sat Apr 04 17:58:51 +0000 2026,https://x.com/i/status/2040489287838298319,False,Claude Code,False,0,0,0,5,0,19,5
x,2040489284788953395,esenkalumut,Umut Esenkal,Just shipped: oops-theme  A Claude Code skill that themes your dashboard with pure CSS — zero source file edits.  5 design styles: → Minimal (Swiss) → Neo-Brutal (raw borders) → Glassmorphism (frosted blur) → Soft (serif pastels) → Oops Default (warm gradients)  Preview,Sat Apr 04 17:58:50 +0000 2026,https://x.com/i/status/2040489284788953395,False,Claude Code,False,0,0,1,5,0,19,5
x,2040489197476442224,Lucrorix,Lucrorix,"Code explanation tip 2026:  Ask: “Explain this code like I’m a junior developer. Break it down line by line, then show how it fits the bigger picture.”  Gets clearer explanations on Claude Sonnet 4.6 and Grok 4.  Great for learning or onboarding.  Try it on a confusing function. https://t.co/7Fo26WbZFn",Sat Apr 04 17:58:29 +0000 2026,https://x.com/i/status/2040489197476442224,False,Claude Code,True,0,0,0,5,0,597,5
x,2040489182637011291,TarisResh,Taris Resh | DreamTestLabs,"@claudeai These are all great, but when are you guys going to address the issue with claude code and the app?   5 minutes of usage for a 5 hour usage window is ridiculous. I ran through my week usage in 2 or 3 days worth of prompting.   Its never been this bad. I dont even want to try https://t.co/N1Pk6mB2BB",Sat Apr 04 17:58:26 +0000 2026,https://x.com/i/status/2040489182637011291,False,Claude Code,True,0,0,0,10,0,2648,10
x,2040489160163946732,bookwormengr,GDP,"@immortaldip NYT headline - ""Indian Gov. put school teacher in jail for using Claude Code"".",Sat Apr 04 17:58:20 +0000 2026,https://x.com/i/status/2040489160163946732,False,Claude Code,False,0,0,0,16,0,11424,16
x,2040489126227484808,Tank_Hankerous,Pat,@dotkrueger @Jamieminer @tomyoungjr @BitByBitBullish @jprice614 @A5T3R0lD @JoahSantos @BitByBitBullish Is Claude Code free to use?,Sat Apr 04 17:58:12 +0000 2026,https://x.com/i/status/2040489126227484808,False,Claude Code,False,1,0,0,18,0,6743,18
x,2040489112755380499,Foxkid1,Joe Curro,"@NoahEpstein_ Trying to use Claude’s channel feature to at least interface with my openclaw and Hermes agents in discord. Perhaps openclaw agents delegate tasks to Claude code in a shared discord channel, but I also  can interact with Claude running opus there directly.",Sat Apr 04 17:58:09 +0000 2026,https://x.com/i/status/2040489112755380499,False,Claude Code,False,0,0,0,14,0,197,14
x,2040489096229928967,DaumasAriel,Ariel Daumas,"@sick_durden Si hablas de Claude Code, no será que ahora tiene 1M de context y antes ≈250k?",Sat Apr 04 17:58:05 +0000 2026,https://x.com/i/status/2040489096229928967,False,Claude Code,False,0,0,0,21,0,40,21
x,2040488956677259771,ha2i82wa,🐨埴輪庭🐢,Claude codeは五万文字ものバカデカHTMLも十分くらいで書いてくれる。自作のファン・ページを楽につくれて、作者は気持ちよくなりやる気が出る。 https://t.co/Uk0VGfsT2K,Sat Apr 04 17:57:32 +0000 2026,https://x.com/i/status/2040488956677259771,False,Claude Code,True,0,0,0,7,0,304,7
x,2040488811444969971,palamut62,Aras Tech,Windows’ta sağ tık menüsüne ekledim 🚀 Artık Codex CLI ve Claude Code direkt istediğim path’te açılıyor. Terminal aç → cd at → komut gir derdi bitti ⚡ https://t.co/JHT4pRC71J,Sat Apr 04 17:56:57 +0000 2026,https://x.com/i/status/2040488811444969971,False,Claude Code,True,0,0,1,11,0,246,11
x,2040488777999626474,allenwalton,Allen Walton,"Moved Openclaw to ChatGPT 5.4 and cleaned up the SOUL.MD files.  Seems fine.  I'm not a heavy user, though, I do most of my serious work with Claude Code.",Sat Apr 04 17:56:49 +0000 2026,https://x.com/i/status/2040488777999626474,False,Claude Code,False,0,0,0,41,0,8729,41
x,2040488745380769813,rahulxf_,rahulxf - go/oss,"try aflock replay: drag in a Claude Code session + aflock policy, see what would be allowed or denied. action by action.  https://t.co/0blVx6jC1b https://t.co/OxboGRQ4py",Sat Apr 04 17:56:42 +0000 2026,https://x.com/i/status/2040488745380769813,False,Claude Code,True,0,0,1,10,0,1233,10
x,2040488688367309119,cptknight_tm,CryptoKnight23,Grassroots growing to 500+ skills with no management push? That's organic adoption that sticks. The 65-72% AI-generated code stat is the buried headline.,Sat Apr 04 17:56:28 +0000 2026,https://x.com/i/status/2040488688367309119,False,Claude Code,False,0,0,0,6,0,29,6
x,2040488646990860382,tooru_kabu,とおる｜投資0日から資産形成記録,claude codeのproプランだと物足りないかもしれない https://t.co/4UFDkQzLKd,Sat Apr 04 17:56:18 +0000 2026,https://x.com/i/status/2040488646990860382,False,Claude Code,True,0,0,1,13,0,19,13
x,2040488642385514876,Spiral58305063,Spiral,不得不说，claude code 确实是一坨狗屎。 把模型能力明显拉低了,Sat Apr 04 17:56:17 +0000 2026,https://x.com/i/status/2040488642385514876,False,Claude Code,False,0,0,0,9,0,13,9
x,2040488528002621635,dvassallo,Daniel Vassallo,@Shpigford Yes all my coding via 🦞 is done through acp and claude code so still via sub auth.,Sat Apr 04 17:55:50 +0000 2026,https://x.com/i/status/2040488528002621635,False,Claude Code,False,0,0,0,45,1,199991,45
x,2040488514585026829,Null_AIdol,Null,今知るべき「Claude Code」：進化するAIと人の協業が描く未来｜かおでか  @Null_AIdol https://t.co/fDxkQIxLkx,Sat Apr 04 17:55:46 +0000 2026,https://x.com/i/status/2040488514585026829,False,Claude Code,False,0,0,0,20,0,2,20
x,2040488513536180675,Build_with_Ryan,Build With Ryan,"Started my building journey with Replit, was great that you could automatically host your apps and websites with them.  Then they got rid of the assistant feature in favour of the Replit agent, which I never really got on with.   Then I switched to Claude code and never looked",Sat Apr 04 17:55:46 +0000 2026,https://x.com/i/status/2040488513536180675,False,Claude Code,False,1,0,0,25,0,1935,25
x,2040488494154617031,itscoleonx,Its Cole,@AlexFinn I have claude code fix my openclaw constantly. My stupid bots fix my stupid bots lol,Sat Apr 04 17:55:42 +0000 2026,https://x.com/i/status/2040488494154617031,False,Claude Code,False,0,0,0,12,0,508,12
x,2040488471333155306,giordanorandone,Giordano Randone,@jainsahil Claude Code and Codex. I use both together and don't write a single line of code manually anymore.,Sat Apr 04 17:55:36 +0000 2026,https://x.com/i/status/2040488471333155306,False,Claude Code,False,0,0,0,13,0,73,13
x,2040488416966799611,RahulRajha57345,Rahul Rajhans,@bvlldhist_alt I am a code coolie bade bhai and I am seeing the work that would take me 3 days take 3 hours .  Claude prepares the documentation too without saying .Its the endgame and it can not be denied,Sat Apr 04 17:55:23 +0000 2026,https://x.com/i/status/2040488416966799611,False,Claude Code,False,0,0,0,8,0,58,8
x,2040488393826578808,pricepertoken,pricepertoken,NEWS: Anthropic says Claude Code subscribers will need to pay extra for OpenClaw and other third-party tools.,Sat Apr 04 17:55:18 +0000 2026,https://x.com/i/status/2040488393826578808,False,Claude Code,False,0,0,0,17,0,20,17
x,2040488342014362041,shravanksingh07,Shravan,🚨 Major update from Anthropic! Claude Code subscribers will now pay extra for OpenClaw usage starting today. No longer included in subscription limits.   What are your thoughts?   #AI #TechNews,Sat Apr 04 17:55:05 +0000 2026,https://x.com/i/status/2040488342014362041,False,Claude Code,False,0,0,0,28,0,90,28
x,2040488341422965135,x_shawn_d,XSD,The Claude Code leak discussion points to the real trust problem with agents: the black box.  Did it keep viewed files? Upload data? Do work outside the visible flow?  Trust View in AgentLens is built to inspect that after a run.  Still early. What signals matter most to you?,Sat Apr 04 17:55:05 +0000 2026,https://x.com/i/status/2040488341422965135,False,Claude Code,False,0,0,0,10,0,25,10
x,2040488172891648229,charliepoz,Charlie Pozniak,"I think I agree with this, but with a distinction between ability and problem taste.   My claude code agents are phenomenal (and better than me) at writing code and math.   They still, however, have terrible taste in problems and often completely misapply their ability.",Sat Apr 04 17:54:25 +0000 2026,https://x.com/i/status/2040488172891648229,False,Claude Code,False,0,0,1,16,0,324,16
x,2040488107154473019,yoursocialwiz,Akanksha Pandey,Just finished a shopify project with claude code.   It had an inventory of 8000+ products to classify.   2 people were manually working on it for over 6 months now.   It took me 2 weeks to finish it and my only limitation was hitting claude code limits.   Crazy world we live in🤯,Sat Apr 04 17:54:09 +0000 2026,https://x.com/i/status/2040488107154473019,False,Claude Code,False,3,0,1,24,0,4385,24
x,2040488049050566666,AleksejAros,Alex Yarosh · AI expert · CEO of AI Studio,"@technooptimist1 @nvidia Smart pivot by the Anything team. Apple's been cracking down on no-code AI builders since iOS 17.2 - they see it as bypassing App Store review. iMessage apps have way looser restrictions since they're ""extensions."" Been tracking this space since building my first Claude-powered",Sat Apr 04 17:53:55 +0000 2026,https://x.com/i/status/2040488049050566666,False,Claude Code,False,0,0,0,13,0,361,13
x,2040487999603917248,Shloka,Sylvain Lys,@iMathTechs A l'instant. 3h d'utilisation de Claude code et j'ai 4h de cooldown,Sat Apr 04 17:53:44 +0000 2026,https://x.com/i/status/2040487999603917248,False,Claude Code,False,0,0,0,5,0,442,5
x,2040487957493129377,BritishTuga,British Tuga,POV you introduced your mate to Claude Code  @0nemorecomma you'll like this one https://t.co/8NhmS5Htja,Sat Apr 04 17:53:34 +0000 2026,https://x.com/i/status/2040487957493129377,False,Claude Code,True,1,0,0,18,0,1097,18
x,2040487803369189381,NexasTools,NexasTech,"@garrytan Repo paste is the easy part. The jump happens when the agent also sees commit history, failing tests, and prod logs in the same loop. Claude Code and Codex both get much better once context stops resetting every turn.",Sat Apr 04 17:52:57 +0000 2026,https://x.com/i/status/2040487803369189381,False,Claude Code,False,0,0,0,30,0,95,30
x,2040487768447430888,dinels12,Daniel S.,"dios quiero uno.  Con claude code, y internet con una Sim",Sat Apr 04 17:52:49 +0000 2026,https://x.com/i/status/2040487768447430888,False,Claude Code,False,1,0,0,8,0,275,8
x,2040487759723557246,odd_joel,IndiJo,"@buildsafter5 telegram bot is clever but yeah the SDK terms are unclear. what works well — SSH into your machine from your phone and run Claude Code in tmux. since its just your own terminal session, no SDK licensing questions. I use Moshi for this, mosh protocol keeps sessions alive through",Sat Apr 04 17:52:47 +0000 2026,https://x.com/i/status/2040487759723557246,False,Claude Code,False,0,0,0,8,0,927,8
x,2040487739968344347,Doomerzoomer,Zoomer 🧢,&lt; Be Higgsfield &lt; Realize AI Slop is going viral &lt; Use Claude Code to reverse engineer 5000+ of the most viral K-POP videos &lt; Copy Pasta prompt into Higgsfield &lt; Generate Zephyr (AI generated K-Pop goon slop) &lt; Get 1 million views in 1 hour on IG &lt; Profit. https://t.co/wGcM1E8nFe,Sat Apr 04 17:52:42 +0000 2026,https://x.com/i/status/2040487739968344347,False,Claude Code,True,3,0,1,168,3,41068,168
x,2040487735798980987,cylentsec,CylentSec,@HackingDave I use Anthropic models served from AWS Bedrock with Claude Code. I haven’t noticed any degradation.,Sat Apr 04 17:52:41 +0000 2026,https://x.com/i/status/2040487735798980987,False,Claude Code,False,0,0,0,64,0,94,64
x,2040487725955170465,VivekIntel,Vivek | Cybersecurity,"An autonomous vulnerability hunting framework using Claude Code and MCP uncovered multiple flaws, including Go library OOM vulnerabilities and a chained auth bypass with SSRF leading to SYSTEM execution. The workflow combines fuzzing, patch diffing, and AI-assisted analysis to",Sat Apr 04 17:52:38 +0000 2026,https://x.com/i/status/2040487725955170465,False,Claude Code,False,0,0,0,7,0,375,7
x,2040487695600730550,AleksejAros,Alex Yarosh · AI expert · CEO of AI Studio,"@arnaudmercier Cursor's agent mode is solid but Claude Code still wins for complex refactoring IMO. The key difference: Cursor excels at file-level edits while Claude Code handles architectural changes better. Just migrated a Next.js project using both - used Cursor for component updates,",Sat Apr 04 17:52:31 +0000 2026,https://x.com/i/status/2040487695600730550,False,Claude Code,False,0,0,0,10,0,361,10
x,2040487690370527252,AntoineConan,Antoine Conan,Quick question for builders using Hetzner: what VPS would you recommend for Claude Code + multiple web apps? Looking for the best balance between price and headroom.  #claudecode #hetzner #vps #dev,Sat Apr 04 17:52:30 +0000 2026,https://x.com/i/status/2040487690370527252,False,Claude Code,False,1,0,0,5,0,93,5
x,2040487650637779265,_proofofwork_,proofofwork,"@aidenybai people spend more time tuning the personality of their AI than writing a proper spec for what they’re actually building. I don’t use Claude Code, just the chat interface. no CLAUDE.md, no agent config. a detailed technical spec and knowing exactly what I want built. that’s the",Sat Apr 04 17:52:20 +0000 2026,https://x.com/i/status/2040487650637779265,False,Claude Code,False,0,0,0,60,1,44,60
x,2040487538348179896,narukijima_jp,黄島成,私も全く同じことをやっていたので、とても共感しました。私はこの手法を「データホーム」と呼んでいます。イメージは NotebookLM に近いですが、NotebookLM は Google に依存しすぎているので、Codex や Claude Code を使って、みんな自分専用のデータホームを構築していくべきだと思っています。,Sat Apr 04 17:51:54 +0000 2026,https://x.com/i/status/2040487538348179896,False,Claude Code,False,0,0,0,31,0,11,31
x,2040487515035972016,heykadirhan,kadirhan,"My MRR: $0 My AWS API Bill: $200+ 🫠  Turns out letting Claude Code run wild on your codebase without a budget limit is a terrible idea. I’m just a 19yo broke student trying to build SaaS.  Jeff Bezos, please have mercy on my soul. 😭🙏 #indiehacker #buildinpublic https://t.co/i8FqoebdUi",Sat Apr 04 17:51:48 +0000 2026,https://x.com/i/status/2040487515035972016,False,Claude Code,True,0,0,0,18,0,5,18
x,2040487385868144892,RafaelBenzal96,Rafael Benzal,"@XMihura Tengo ChatGPT Pro y Claude Max, suelo usar Codex y Claude Code. GPT 5.4 Pro para uso en el chat no tiene rival. Claude Code y Codex para mí depende del caso de uso.",Sat Apr 04 17:51:17 +0000 2026,https://x.com/i/status/2040487385868144892,False,Claude Code,False,0,0,0,14,0,148,14
x,2040487293400813601,bhuang_,Brandon Huang,"@Dearme2_ I ask claude code most of my questions, then if their answer isn't good I'll just ask my dog for advice.",Sat Apr 04 17:50:55 +0000 2026,https://x.com/i/status/2040487293400813601,False,Claude Code,False,0,0,0,11,0,9,11
x,2040490288410468388,maier_ak,Andreas K. Maier,"I got a few questions on whether a book on Vibe Coding would be a manual for Codex or Claude. I don't think that would be a good topic for a book. It would outdate just too quickly. So, I added a geek box explaining why I think an AI software engineering book is required. https://t.co/zYKiZtzjZp",Sat Apr 04 18:02:49 +0000 2026,https://x.com/i/status/2040490288410468388,False,vibe coding Claude,True,0,0,1,12,0,18445,12
